fips,county,state,state_name,lat,lon,land_sq_mi,population,septic_dominant_class,septic_dominant_share_pct,septic_very_limited_pct
40069,Johnston County,OK,Oklahoma,34.3135,-96.6543,643.05,10293,Very limited,73.3,73.3
01037,Coosa County,AL,Alabama,32.9314,-86.2435,650.909,10291,Very limited,64.6,64.6
46109,Roberts County,SD,South Dakota,45.6234,-96.9476,1101.055,10283,Very limited,81.9,81.9
05105,Perry County,AR,Arkansas,34.9464,-92.9269,551.336,10251,Very limited,90.6,90.6
38099,Walsh County,ND,North Dakota,48.377,-97.7222,1281.607,10214,Very limited,76.8,76.8
30085,Roosevelt County,MT,Montana,48.2827,-104.9952,2354.602,10197,,,
13235,Pulaski County,GA,Georgia,32.2388,-83.4818,249.261,10180,,,
49015,Emery County,UT,Utah,39.009,-110.7211,4462.635,10161,,,
29089,Howard County,MO,Missouri,39.1434,-92.6959,463.801,10150,Very limited,95.4,95.4
31089,Holt County,NE,Nebraska,42.4593,-98.7848,2411.851,10120,Very limited,97.7,97.7
48425,Somervell County,TX,Texas,32.2181,-97.7692,186.207,10098,,,
19137,Montgomery County,IA,Iowa,41.0217,-95.1578,424.097,10063,Very limited,98.7,98.7
20131,Nemaha County,KS,Kansas,39.791,-96.0054,717.427,10062,Very limited,99.5,99.5
51049,Cumberland County,VA,Virginia,37.5202,-78.2528,297.474,10062,Very limited,74.9,74.9
48403,Sabine County,TX,Texas,31.3433,-93.8519,491.71,10058,,,
08125,Yuma County,CO,Colorado,40.0008,-102.4216,2364.399,10048,Very limited,69.7,69.7
28155,Webster County,MS,Mississippi,33.6121,-89.284,421.158,10039,Very limited,99.3,99.3
05109,Pike County,AR,Arkansas,34.1582,-93.6587,600.337,10027,Very limited,88.6,88.6
19069,Franklin County,IA,Iowa,42.7365,-93.2714,581.972,10024,Very limited,81.1,81.1
30001,Beaverhead County,MT,Montana,45.1339,-112.8929,5542.687,10006,,,
18155,Switzerland County,IN,Indiana,38.8259,-85.0297,220.668,9988,Very limited,95.6,95.6
45065,McCormick County,SC,South Carolina,33.8976,-82.3162,358.89,9983,Very limited,50.3,50.3
20117,Marshall County,KS,Kansas,39.7827,-96.5212,900.178,9950,Very limited,96.8,96.8
05011,Bradley County,AR,Arkansas,33.4665,-92.1692,649.167,9935,Very limited,94.9,94.9
01011,Bullock County,AL,Alabama,32.1018,-85.7173,622.815,9901,Very limited,99,99
29063,DeKalb County,MO,Missouri,39.8947,-94.4072,421.358,9884,Very limited,99.3,99.3
31179,Wayne County,NE,Nebraska,42.2107,-97.1262,442.916,9870,Very limited,67.3,67.3
01131,Wilcox County,AL,Alabama,31.9901,-87.3049,887.858,9865,Very limited,91.7,91.7
18101,Martin County,IN,Indiana,38.7053,-86.8018,335.761,9864,Very limited,95.2,95.2
27063,Jackson County,MN,Minnesota,43.6711,-95.1497,702.972,9861,Very limited,92.1,92.1
19107,Keokuk County,IA,Iowa,41.3312,-92.1677,579.175,9855,Very limited,99,99
29111,Lewis County,MO,Missouri,40.0846,-91.7288,505.018,9852,Very limited,97.5,97.5
29185,St. Clair County,MO,Missouri,38.0422,-93.7766,674.981,9848,Very limited,93.9,93.9
38055,McLean County,ND,North Dakota,47.6532,-101.4219,2110.272,9845,Somewhat limited,59.1,28.8
20107,Linn County,KS,Kansas,38.2165,-94.8449,594.081,9841,Very limited,97.7,97.7
05127,Scott County,AR,Arkansas,34.8589,-94.0636,892.85,9837,Very limited,94.2,94.2
02180,Nome Census Area,AK,Alaska,64.7837,-164.1889,22969.821,9836,,,
26119,Montmorency County,MI,Michigan,45.0241,-84.1301,546.675,9828,Very limited,86.1,86.1
28103,Noxubee County,MS,Mississippi,33.1066,-88.5662,695.361,9825,Very limited,97.9,97.9
27149,Stevens County,MN,Minnesota,45.5935,-95.9923,563.662,9819,Very limited,91.3,91.3
30023,Deer Lodge County,MT,Montana,46.0947,-113.1416,736.683,9811,,,
49019,Grand County,UT,Utah,38.9743,-109.5734,3672.858,9788,,,
29079,Grundy County,MO,Missouri,40.1125,-93.5651,435.293,9766,Very limited,98.4,98.4
30057,Madison County,MT,Montana,45.3253,-111.9138,3588.156,9753,,,
48399,Runnels County,TX,Texas,31.8451,-99.9827,1051.07,9751,Very limited,68,68
21131,Leslie County,KY,Kentucky,37.0878,-83.3886,400.878,9729,,,
48357,Ochiltree County,TX,Texas,36.2787,-100.8159,917.685,9717,Very limited,78.1,78.1
19025,Calhoun County,IA,Iowa,42.3861,-94.6436,569.846,9711,Very limited,93.4,93.4
48315,Marion County,TX,Texas,32.7982,-94.3569,380.902,9704,,,
48369,Parmer County,TX,Texas,34.5322,-102.7849,880.822,9669,Very limited,65.8,65.8
27151,Swift County,MN,Minnesota,45.2758,-95.6901,742.016,9666,Very limited,87,87
19091,Humboldt County,IA,Iowa,42.7822,-94.2028,434.372,9617,Very limited,94.4,94.4
31033,Cheyenne County,NE,Nebraska,41.2142,-103.0119,1196.008,9602,Somewhat limited,57.5,38.9
48131,Duval County,TX,Texas,27.6811,-98.4974,1793.477,9585,Very limited,58.3,58.3
13317,Wilkes County,GA,Georgia,33.779,-82.7479,469.504,9567,,,
31081,Hamilton County,NE,Nebraska,40.8728,-98.0223,542.03,9564,Very limited,88.9,88.9
40105,Nowata County,OK,Oklahoma,36.7896,-95.6133,565.817,9561,Very limited,94.4,94.4
19161,Sac County,IA,Iowa,42.3875,-95.1052,575.022,9533,Very limited,91,91
27133,Rock County,MN,Minnesota,43.6696,-96.2632,482.459,9525,Very limited,92.7,92.7
19039,Clarke County,IA,Iowa,41.0297,-93.7853,431.111,9524,Very limited,98.2,98.2
40077,Latimer County,OK,Oklahoma,34.8751,-95.2723,722.113,9509,Very limited,94.1,94.1
48043,Brewster County,TX,Texas,29.809,-103.2525,6183.763,9508,,,
55041,Forest County,WI,Wisconsin,45.6669,-88.7733,1014.265,9506,Very limited,96.1,96.1
01085,Lowndes County,AL,Alabama,32.1479,-86.6506,716.085,9485,Very limited,93.5,93.5
48429,Stephens County,TX,Texas,32.7381,-98.8393,896.721,9475,Very limited,95.3,95.3
38061,Mountrail County,ND,North Dakota,48.2101,-102.3649,1825.163,9474,Somewhat limited,60.4,32.6
37103,Jones County,NC,North Carolina,35.0323,-77.3562,471.368,9462,Very limited,93,93
30095,Stillwater County,MT,Montana,45.6589,-109.3817,1796.533,9450,,,
29093,Iron County,MO,Missouri,37.626,-90.6996,550.267,9420,Very limited,96.8,96.8
28097,Montgomery County,MS,Mississippi,33.5007,-89.6396,406.981,9411,Very limited,97.9,97.9
04011,Greenlee County,AZ,Arizona,33.2389,-109.2423,1842.838,9410,,,
48237,Jack County,TX,Texas,33.2323,-98.1711,910.972,9398,Very limited,97.5,97.5
22021,Caldwell Parish,LA,Louisiana,32.1012,-92.1142,529.77,9393,Very limited,91.4,91.4
28015,Carroll County,MS,Mississippi,33.4408,-89.9189,628.388,9378,Very limited,85.1,85.1
27173,Yellow Medicine County,MN,Minnesota,44.7157,-95.8628,759.101,9373,Very limited,94.6,94.6
19089,Howard County,IA,Iowa,43.3653,-92.3219,473.247,9360,Very limited,98.6,98.6
46023,Charles Mix County,SD,South Dakota,43.2062,-98.5951,1097.141,9343,Very limited,84.8,84.8
46033,Custer County,SD,South Dakota,43.6849,-103.4622,1556.943,9330,,,
20159,Rice County,KS,Kansas,38.3472,-98.2014,726.235,9284,Very limited,94.1,94.1
13253,Seminole County,GA,Georgia,30.934,-84.8677,237.551,9274,,,
05017,Chicot County,AR,Arkansas,33.2671,-91.2972,636.978,9272,Very limited,82,82
22123,West Carroll Parish,LA,Louisiana,32.7925,-91.452,359.686,9254,Very limited,97.8,97.8
51159,Richmond County,VA,Virginia,37.9429,-76.7306,191.478,9215,Very limited,94.8,94.8
48507,Zavala County,TX,Texas,28.8647,-99.7598,1297.407,9209,,,
19051,Davis County,IA,Iowa,40.7481,-92.4103,502.188,9193,Very limited,95.8,95.8
21053,Clinton County,KY,Kentucky,36.7273,-85.1361,197.063,9183,Very limited,65.6,65.6
13167,Johnson County,GA,Georgia,32.6946,-82.664,303.019,9178,,,
46121,Todd County,SD,South Dakota,43.2088,-100.7077,1388.593,9172,Very limited,91.7,91.7
19063,Emmet County,IA,Iowa,43.378,-94.6694,395.89,9162,Very limited,87.1,87.1
28143,Tunica County,MS,Mississippi,34.6522,-90.3718,454.13,9157,Very limited,90.3,90.3
13155,Irwin County,GA,Georgia,31.6043,-83.277,354.363,9155,,,
48009,Archer County,TX,Texas,33.6163,-98.6873,903.289,9155,Very limited,97.8,97.8
16035,Clearwater County,ID,Idaho,46.6726,-115.6535,2457.314,9151,,,
20013,Brown County,KS,Kansas,39.8259,-95.5699,570.871,9142,Very limited,98.7,98.7
20151,Pratt County,KS,Kansas,37.6476,-98.7401,735.039,9137,Very limited,99.6,99.6
21149,McLean County,KY,Kentucky,37.5267,-87.2656,252.525,9126,,,
27117,Pipestone County,MN,Minnesota,44.0154,-96.257,465.053,9100,Very limited,99.5,99.5
22065,Madison Parish,LA,Louisiana,32.3469,-91.2319,623.885,9093,Very limited,93.2,93.2
17079,Jasper County,IL,Illinois,39.0049,-88.1507,494.614,9092,Very limited,98.6,98.6
29153,Ozark County,MO,Missouri,36.6496,-92.4585,745.006,9090,Very limited,80.7,80.7
46125,Turner County,SD,South Dakota,43.3087,-97.1502,617.064,9087,Very limited,98.1,98.1
21143,Lyon County,KY,Kentucky,37.024,-88.0834,213.785,9078,,,
08019,Clear Creek County,CO,Colorado,39.6894,-105.6708,395.073,9076,,,
31137,Phelps County,NE,Nebraska,40.5164,-99.4066,539.765,9042,Very limited,75.9,75.9
13287,Turner County,GA,Georgia,31.7248,-83.6203,285.441,9023,,,
21091,Hancock County,KY,Kentucky,37.8433,-86.7928,187.675,9013,,,
29025,Caldwell County,MO,Missouri,39.659,-93.9792,426.393,9000,Very limited,99.2,99.2
47135,Perry County,TN,Tennessee,35.6638,-87.8693,414.765,8987,Very limited,93.5,93.5
21055,Crittenden County,KY,Kentucky,37.3581,-88.105,359.566,8982,Very limited,90.8,90.8
48335,Mitchell County,TX,Texas,32.3041,-100.9244,911.093,8968,Very limited,70.6,70.6
56035,Sublette County,WY,Wyoming,42.7679,-109.9162,4886.482,8965,,,
31039,Cuming County,NE,Nebraska,41.9159,-96.7885,570.49,8952,Very limited,79.9,79.9
13315,Wilcox County,GA,Georgia,31.9627,-83.4383,377.811,8904,,,
29137,Monroe County,MO,Missouri,39.4983,-92.0065,647.64,8890,Very limited,96.3,96.3
18007,Benton County,IN,Indiana,40.6009,-87.3148,406.415,8853,Very limited,99.9,99.9
13165,Jenkins County,GA,Georgia,32.7946,-81.9715,347.378,8836,Very limited,79.2,79.2
21139,Livingston County,KY,Kentucky,37.2095,-88.3634,312.961,8815,Very limited,84.2,84.2
19147,Palo Alto County,IA,Iowa,43.0753,-94.6691,563.864,8809,Very limited,88.3,88.3
21077,Gallatin County,KY,Kentucky,38.7557,-84.8651,98.282,8805,,,
56019,Johnson County,WY,Wyoming,44.044,-106.5885,4154.152,8803,,,
27089,Marshall County,MN,Minnesota,48.3627,-96.3578,1775.06,8771,Very limited,97.8,97.8
29085,Hickory County,MO,Missouri,37.9369,-93.323,398.808,8766,Very limited,92.8,92.8
19117,Lucas County,IA,Iowa,41.0333,-93.3315,430.681,8758,Very limited,96.3,96.3
30021,Dawson County,MT,Montana,47.2661,-104.8983,2371.926,8731,Very limited,79.3,79.3
20029,Cloud County,KS,Kansas,39.4873,-97.6414,715.342,8723,Very limited,85.5,85.5
29149,Oregon County,MO,Missouri,36.6853,-91.4018,789.844,8699,Very limited,69,69
13273,Terrell County,GA,Georgia,31.7772,-84.4394,335.791,8698,,,
26003,Alger County,MI,Michigan,46.5217,-86.6571,915.04,8695,Very limited,92.2,92.2
13141,Hancock County,GA,Georgia,33.2692,-83.0005,471.067,8683,,,
13319,Wilkinson County,GA,Georgia,32.8043,-83.1755,449.223,8667,,,
19073,Greene County,IA,Iowa,42.0425,-94.3887,569.558,8662,Very limited,78.2,78.2
